PTC Loader version 1.6.5_TEST2
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:884| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:887| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:892| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:895| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:36:899| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:902| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:36:906| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:102| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:106| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:37:110| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:37:113| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:115| SendFileInfo Name:app.mdm_client_slave.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:119| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:123| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:128| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:131| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:135| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:138| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:143| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:146| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:149| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:152| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:157| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:352| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:357| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:37:360| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:37:363| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:366| SendFileInfo Name:app.mdm_server_addr.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:808| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:812| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:817| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:822| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:827| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:831| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:37:835| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:839| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:37:844| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.11      | 2015-10-15 06:49:37:953| UDP read event, num of bytes read 46
COM| 10.255.255.11      | 2015-10-15 06:49:37:957| UDP client added to the list of active clients with IP address: 10.255.255.11
